,id_start,id_end,distance,moto,car,rv,bus,truck
0,1001400,1001402,9.7,7.76,11.639999999999999,14.549999999999999,21.34,34.92
1,1001400,1001404,29.9,23.92,35.879999999999995,44.849999999999994,65.78,107.64
2,1001400,1001406,45.9,36.72,55.08,68.85,100.98,165.24
3,1001400,1001408,67.6,54.08,81.11999999999999,101.39999999999999,148.72,243.35999999999999
4,1001400,1001410,78.69999999999999,62.959999999999994,94.43999999999998,118.04999999999998,173.14,283.32
5,1001400,1001412,94.29999999999998,75.43999999999998,113.15999999999998,141.45,207.45999999999998,339.47999999999996
6,1001400,1001414,112.49999999999999,90.0,134.99999999999997,168.74999999999997,247.5,404.99999999999994
7,1001400,1001416,125.69999999999999,100.56,150.83999999999997,188.54999999999998,276.54,452.52
8,1001400,1001418,139.29999999999998,111.44,167.15999999999997,208.95,306.46,501.47999999999996
9,1001400,1001420,152.2,121.75999999999999,182.64,228.29999999999998,334.84,547.92
10,1001400,1001422,161.79999999999998,129.44,194.15999999999997,242.7,355.96,582.4799999999999
11,1001400,1001424,173.2,138.56,207.83999999999997,259.79999999999995,381.04,623.52
12,1001400,1001426,191.79999999999998,153.44,230.15999999999997,287.7,421.96,690.4799999999999
13,1001400,1001428,207.6,166.08,249.11999999999998,311.4,456.72,747.36
14,1001400,1001430,216.2,172.96,259.44,324.29999999999995,475.64,778.3199999999999
15,1001400,1001432,225.2,180.16,270.23999999999995,337.79999999999995,495.44,810.72
16,1001400,1001434,233.1,186.48000000000002,279.71999999999997,349.65,512.82,839.16
17,1001400,1001436,237.1,189.68,284.52,355.65,521.62,853.56
18,1001400,1001436,237.1,189.68,284.52,355.65,521.62,853.56
19,1001400,1001438,246.1,196.88,295.32,369.15,541.4200000000001,885.96
20,1001400,1001438,246.1,196.88,295.32,369.15,541.4200000000001,885.96
21,1001400,1001440,256.1,204.88000000000002,307.32,384.15000000000003,563.4200000000001,921.9600000000002
22,1001400,1001442,260.0,208.0,312.0,390.0,572.0,936.0
23,1001400,1001488,264.5,211.60000000000002,317.4,396.75,581.9000000000001,952.2
24,1001400,1004356,268.5,214.8,322.2,402.75,590.7,966.6
25,1001400,1004354,270.5,216.4,324.59999999999997,405.75,595.1,973.8000000000001
26,1001400,1004355,272.5,218.0,327.0,408.75,599.5,981.0
27,1001400,1001444,273.2,218.56,327.84,409.79999999999995,601.0400000000001,983.52
28,1001400,1001446,279.8,223.84000000000003,335.76,419.70000000000005,615.5600000000001,1007.2800000000001
29,1001400,1001448,289.40000000000003,231.52000000000004,347.28000000000003,434.1,636.6800000000002,1041.8400000000001
30,1001400,1001450,305.1,244.08000000000004,366.12,457.65000000000003,671.2200000000001,1098.3600000000001
31,1001400,1001452,315.0,252.0,378.0,472.5,693.0,1134.0
32,1001400,1001454,326.3,261.04,391.56,489.45000000000005,717.8600000000001,1174.68
33,1001400,1001456,339.90000000000003,271.92,407.88000000000005,509.85,747.7800000000001,1223.64
34,1001400,1001458,348.8,279.04,418.56,523.2,767.3600000000001,1255.68
35,1001400,1001460,353.90000000000003,283.12000000000006,424.68,530.85,778.5800000000002,1274.0400000000002
36,1001400,1001460,353.90000000000003,283.12000000000006,424.68,530.85,778.5800000000002,1274.0400000000002
37,1001400,1001461,366.70000000000005,293.36000000000007,440.04,550.0500000000001,806.7400000000001,1320.1200000000001
38,1001400,1001462,371.80000000000007,297.44000000000005,446.1600000000001,557.7,817.9600000000003,1338.4800000000002
39,1001400,1001464,398.50000000000006,318.80000000000007,478.20000000000005,597.7500000000001,876.7000000000002,1434.6000000000001
40,1001400,1001466,407.00000000000006,325.6000000000001,488.40000000000003,610.5000000000001,895.4000000000002,1465.2000000000003
41,1001400,1001468,417.70000000000005,334.1600000000001,501.24,626.5500000000001,918.9400000000002,1503.7200000000003
42,1001400,1001470,428.30000000000007,342.6400000000001,513.96,642.45,942.2600000000002,1541.8800000000003
43,1001400,1001437,0.0,0.0,0.0,0.0,0.0,0.0
44,1001402,1001400,9.7,7.76,11.639999999999999,14.549999999999999,21.34,34.92
45,1001402,1001404,20.2,16.16,24.24,30.299999999999997,44.440000000000005,72.72
46,1001402,1001406,36.2,28.960000000000004,43.440000000000005,54.300000000000004,79.64000000000001,130.32000000000002
47,1001402,1001408,57.900000000000006,46.32000000000001,69.48,86.85000000000001,127.38000000000002,208.44000000000003
48,1001402,1001410,69.0,55.2,82.8,103.5,151.8,248.4
49,1001402,1001412,84.6,67.67999999999999,101.52,126.89999999999999,186.12,304.56
50,1001402,1001414,102.8,82.24000000000001,123.35999999999999,154.2,226.16000000000003,370.08
51,1001402,1001416,116.0,92.80000000000001,139.2,174.0,255.20000000000002,417.6
52,1001402,1001418,129.6,103.68,155.51999999999998,194.39999999999998,285.12,466.56
53,1001402,1001420,142.5,114.0,171.0,213.75,313.5,513.0
54,1001402,1001422,152.1,121.68,182.51999999999998,228.14999999999998,334.62,547.56
